观看人数,点赞数,反对数,点赞比
"42,472","1,796",30,98.35706462
"278,135","4,410",74,98.34968778
"90,720","2,968",50,98.34327369
"101,128","2,369",40,98.33955998
"188,390","5,739",97,98.33790267
"863,233","13,935",236,98.33462706
"480,664","16,645",284,98.32240534
"173,195","3,564",61,98.31724138
"306,414","6,106",105,98.30945097
"208,430","6,207",107,98.30535318
"284,118","8,538",148,98.29610868
"256,023","7,921",138,98.28762874
"55,906","1,713",30,98.2788296
"185,513","3,408",60,98.26989619
"202,551","4,524",80,98.26238054
"196,399","6,766",120,98.25733372
"197,209","5,824",104,98.24561404
"243,668","6,652",119,98.2425048
"78,259","2,048",37,98.22541966
"78,128","2,375",43,98.2216708
"100,658","2,262",41,98.21971342
"462,796","14,942",271,98.2186288
"73,432","2,046",38,98.17658349
"179,882","6,405",119,98.17596567
"188,045","5,435",101,98.17557803
"156,679","4,272",80,98.16176471
"82,303","2,597",49,98.14814815
"287,136","8,612",164,98.13126709
"118,027","3,190",61,98.12365426
"61,345","2,544",49,98.11029695
"806,765","18,915",365,98.10684647
"471,366","8,753",169,98.10580587
"71,852","1,606",32,98.04639805
"505,410","34,355",686,98.04229331
"113,602","3,840",77,98.03420985
"245,792","8,887",180,98.01477887
"420,158","11,821",240,98.01011525
"376,348","9,479",193,98.00454921
"214,257","5,204",108,97.96686747
"124,150","3,168",66,97.95918367
"313,556","5,175",108,97.95570698
"781,687","12,682",265,97.95319379
"344,905","9,006",189,97.94453507
"771,796","23,342",492,97.93572208
"184,684","7,635",162,97.9222778
"198,285","6,229",133,97.90946243
"171,717","5,401",116,97.89740801
"510,859","8,557",184,97.89497769
"76,424","2,540",56,97.84283513
"181,201","4,667",103,97.84067086
"206,822","5,864",130,97.8311645
"241,536","7,152",159,97.82519491
"122,684","3,793",85,97.80814853
"132,735","3,377",76,97.79901535
"163,353","3,063",69,97.79693487
"290,324","10,450",236,97.7915029
"169,984","4,508",102,97.78741866
"273,762","5,832",132,97.78672032
"147,345","6,850",157,97.75938347
"543,729","11,196",260,97.73044693
"144,898","4,648",108,97.72918419
"941,250","21,554",501,97.72840626
"184,226","5,721",133,97.7280492
"190,115","3,136",73,97.72514802
"159,889","4,792",112,97.71615008
"165,345","7,524",176,97.71428571
"343,245","7,400",176,97.67687434
"245,101","7,371",176,97.66794753
"346,183","7,212",173,97.65741368
"1,064,210","20,478",492,97.65379113
"68,733","1,789",43,97.65283843
"311,350","9,609",233,97.632595
"138,901","4,561",111,97.62414384
"122,448","3,812",93,97.6184379
"504,495","32,454",796,97.60601504
"95,572","4,533",114,97.54680439
"235,281","3,687",93,97.53968254
"153,222","5,265",133,97.53612449
"795,755","23,218",590,97.5218414
"351,917","9,503",242,97.51667522
"156,502","5,057",129,97.51253374
"266,150","7,394",189,97.50758275
"173,293","5,968",153,97.50040843
"538,961","12,461",322,97.48102949
"134,742","4,388",114,97.46779209
"3,315,655","59,781","1,554",97.4663732
"270,889","5,374",140,97.46100834
"1,569,123","36,542",952,97.46092708
"117,560","3,333",87,97.45614035
"124,804","5,069",133,97.44329104
"291,457","7,427",195,97.44161637
"58,825","1,389",37,97.40532959
"390,545","10,698",286,97.39621267
"657,007","20,686",555,97.38712867
"249,966","6,177",168,97.35224586
"167,866","3,854",105,97.3478151
"1,047,453","16,423",448,97.34455575
"377,475","9,044",248,97.33103745
"534,781","10,639",293,97.3197951
"257,656","7,045",195,97.30662983
"114,588","4,550",126,97.30538922
"874,315","15,086",425,97.26000903
"245,146","9,699",274,97.25258197
"143,458","3,384",96,97.24137931
"265,175","6,893",197,97.22143865
"210,587","5,833",167,97.21666667
"384,944","11,339",327,97.19698268
"470,505","10,744",312,97.17800289
"305,253","7,595",221,97.17246673
"1,416,828","34,807","1,017",97.16112104
"193,155","6,726",197,97.15441283
"204,690","5,436",160,97.14081487
"1,604,657","27,968",830,97.11785541
"409,594","7,167",213,97.11382114
"402,502","7,062",211,97.09885879
"166,339","6,726",201,97.09831096
